Class,Precision,Recall,F1 Score,Support,Accuracy
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,162,1.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,179,1.0
Squash___Powdery_mildew,1.0,1.0,1.0,275,1.0
Orange___Haunglongbing_(Citrus_greening),0.9987864077669902,0.9963680387409201,0.9975757575757576,826,0.9963680387409201
Strawberry___Leaf_scorch,1.0,0.9940119760479041,0.996996996996997,167,0.9940119760479041
Tomato___Leaf_Mold,0.9930555555555556,1.0,0.9965156794425087,143,1.0
Tomato___healthy,1.0,0.9916317991631799,0.9957983193277311,239,0.9916317991631799
Peach___Bacterial_spot,0.9913544668587896,1.0,0.9956584659913169,344,1.0
Apple___Apple_scab,0.9894736842105263,1.0,0.9947089947089947,94,1.0
Corn_(maize)___healthy,0.9886363636363636,1.0,0.9942857142857143,174,1.0
Soybean___healthy,1.0,0.9869109947643979,0.9934123847167325,764,0.9869109947643979
Blueberry___healthy,0.9911894273127754,0.995575221238938,0.9933774834437086,226,0.995575221238938
"Pepper,_bell___Bacterial_spot",0.9933333333333333,0.9933333333333333,0.9933333333333333,150,0.9933333333333333
Potato___Early_blight,1.0,0.9866666666666667,0.9932885906040269,150,0.9866666666666667
Grape___Esca_(Black_Measles),0.9951456310679612,0.9903381642512077,0.9927360774818402,207,0.9903381642512077
Grape___healthy,0.9846153846153847,1.0,0.9922480620155039,64,1.0
Cherry_(including_sour)___healthy,0.9846153846153847,1.0,0.9922480620155039,128,1.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9900744416873449,0.9937733499377335,0.9919204474829086,803,0.9937733499377335
Grape___Black_rot,0.9887640449438202,0.9943502824858758,0.9915492957746479,177,0.9943502824858758
Apple___Black_rot,0.989247311827957,0.989247311827957,0.989247311827957,93,0.989247311827957
Apple___healthy,0.9958677685950413,0.9796747967479674,0.9877049180327869,246,0.9796747967479674
Cherry_(including_sour)___Powdery_mildew,0.9935897435897436,0.9810126582278481,0.9872611464968153,158,0.9810126582278481
Potato___Late_blight,0.9802631578947368,0.9933333333333333,0.9867549668874173,150,0.9933333333333333
Strawberry___healthy,0.9714285714285714,1.0,0.9855072463768116,68,1.0
"Pepper,_bell___healthy",0.973568281938326,0.9954954954954955,0.9844097995545658,222,0.9954954954954955
Tomato___Septoria_leaf_spot,0.9740740740740741,0.9924528301886792,0.983177570093458,265,0.9924528301886792
Raspberry___healthy,0.9649122807017544,1.0,0.9821428571428571,55,1.0
Peach___healthy,0.9814814814814815,0.9814814814814815,0.9814814814814815,54,0.9814814814814815
Tomato___Bacterial_spot,0.9903536977491961,0.9655172413793104,0.9777777777777777,319,0.9655172413793104
Apple___Cedar_apple_rust,0.9534883720930233,1.0,0.9761904761904762,41,1.0
Tomato___Tomato_mosaic_virus,0.9491525423728814,1.0,0.9739130434782609,56,1.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9917695473251029,0.9563492063492064,0.9737373737373738,252,0.9563492063492064
Tomato___Target_Spot,0.9502262443438914,0.995260663507109,0.9722222222222222,211,0.995260663507109
Tomato___Late_blight,0.9653979238754326,0.9721254355400697,0.96875,287,0.9721254355400697
Corn_(maize)___Northern_Leaf_Blight,0.9928571428571429,0.9455782312925171,0.9686411149825784,147,0.9455782312925171
Tomato___Early_blight,0.9790209790209791,0.9333333333333333,0.9556313993174061,150,0.9333333333333333
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8941176470588236,0.987012987012987,0.9382716049382716,77,0.987012987012987
Potato___healthy,0.9545454545454546,0.9130434782608695,0.9333333333333333,23,0.9130434782608695
